envelope_ID,day,month,year,siteID,species,new_taxon,project,habitat,plotNR,DURIN_plot,ageClass,DroughtTrt,DroughNet_plotID,plant_nr,leaf_nr,leaf_age,plant_height,bulk_nr_leaves,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_g,stomatal_conductance(gs),spectrometry,remark,remarks_2,cutout_barcode
AKM0571,15,June,2023,Lygra,Calluna vulgaris,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,young,28.8,5,0.0054,0.123,0.152,0.081,,,,,,
APY8998,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,3,2,young,16.2,5,0.0062,0.105,0.169,0.128,,,,,,
AQJ3184,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Amb (0),8.3,1,2,young,12.8,,0.0286,0.149,0.147,0.141,,,,,,
APR3459,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,1,2,young,20.1,,0.0305,0.120,0.169,0.120,,,,,,
APF1951,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,2,3,young,23.5,,0.0315,0.158,0.164,0.171,,,,,,
AQH9108,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),3.3,1,2,young,15.7,,0.0074,0.098,0.096,0.103,,,,,,
APV2231,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),3.3,1,3,young,15.7,,0.0091,0.116,0.119,0.117,,,,,,
APZ6144,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,2,young,16.2,,0.0201,0.127,0.120,0.119,,,,,,
AQP8621,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,3,2,young,17.5,,0.0164,0.103,0.107,0.114,,,,,,
AQL5241,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,3,3,young,17.5,,0.0222,0.110,0.108,0.111,,,,,,
AOV2732,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,1,2,young,16.8,,0.0203,0.128,0.132,0.120,,,,,,
AQD4915,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,3,young,16.2,,0.0172,0.120,0.120,0.132,,,,,,
AOZ4927,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),1.2,1,3,young,16.8,,0.0213,0.107,0.114,0.124,,,,,,
APN7153,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,1,3,young,20.1,,0.0378,0.178,0.180,0.176,,,,,,
AQK2814,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,3,2,young,22.5,,0.0364,0.171,0.157,0.173,,,,,,
APX1400,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Amb (0),8.3,1,3,young,12.8,,0.0252,0.138,0.156,0.148,,,,,,
APT7686,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Amb (0),8.3,2,3,young,7.6,,0.0089,0.108,0.105,0.121,,,,,,
APP8327,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Amb (0),8.3,2,2,young,7.6,,0.0063,0.106,0.109,0.121,,,,,,
APJ4239,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,2,2,young,23.5,,0.0418,0.160,0.174,0.159,,,,,,
AQO4837,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Mature,Ext (90),8.1,3,1,young,22.5,,0.0324,0.162,0.121,0.172,,,,,,
APA5873,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),3.3,2,2,young,23.2,,0.0096,0.187,0.223,0.194,,,,,,
APE1859,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,3,old,13.2,5,0.0114,0.218,0.161,0.249,,,,,,
APH3193,15,June,2023,Lygra,Calluna vulgaris,,Field - Traits,,,,Mature,Amb (0),8.3,3,2,young,19.8,5,0.0285,0.152,0.161,0.171,,,,,,
ADH3736,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,3,1,young,16.2,5,0.0072,0.168,0.161,0.156,,,,,,
AEH5826,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,2,old,14.0,,0.0437,0.396,0.394,0.405,,,,,,
AEU0477,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,1,old,12.0,,0.0512,0.451,0.470,0.451,,,,,,
AEV6741,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,2,old,12.0,,0.0651,0.401,0.432,0.451,,,,,,
AEW2099,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,3,old,12.0,,0.0515,0.437,0.436,0.430,,,,,,
AAC2862,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,3,2,young,12.4,,0.0076,0.095,0.096,0.110,,,,,,
AEF4415,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,3,young,14.0,,0.0429,0.315,0.314,0.313,,,,,,
AHE7194,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,,old,13.6,,0.0442,0.346,0.350,0.362,,,,,,
AEZ4327,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,1,young,12.8,,0.0240,0.117,0.127,0.124,,,,,,
AFA7801,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,2,young,12.8,,0.0360,0.131,0.110,0.115,,,,,,
ADO7330,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),3.3,2,1,young,23.2,,0.0116,0.232,0.239,0.252,,,,,,
AGC2265,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,2,young,23.0,,0.0049,0.175,0.201,0.141,,,,"All 5 leaves scanned + weighed, one missing @ leaf thickness",,
AAY2514,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,old,18.1,,0.0152,0.243,0.246,0.242,,,,,,
AAU1028,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,1,young,18.1,5,0.0093,0.227,0.184,0.157,,,,,,
AAV7693,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,young,18.1,5,0.0089,0.198,0.220,0.215,,,,,,
AAW5967,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,young,18.1,5,0.0093,0.235,0.170,0.246,,,,,,
AAJ8368,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,2,,old,5.1,,0.0065,0.179,0.170,0.178,,,,,,
AHF5301,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,1,young,17.6,5,0.0042,0.109,0.167,0.175,,,,,,
AIJ0173,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,young,10.1,,0.0630,0.375,0.369,0.355,,,,,,
AIF3501,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,young,10.1,,0.0717,0.382,0.390,0.375,,,,,,
API1218,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,2,old,13.2,,0.0071,0.091,0.211,0.184,,,,,,
APM6080,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,1,old,13.2,,0.0130,0.311,0.263,0.243,,,,,,
AMD7023,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Mature,Amb (0),8.3,3,3,young,13.2,,0.0513,0.246,0.238,0.241,,,,,,
AFE6194,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,3,young,18.1,,0.0283,0.256,0.275,0.277,,,,,,
AEI0340,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,3,old,14.0,,0.0443,0.372,0.360,0.381,,,,,,
AFI4345,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,3,3,young,12.4,,0.0061,0.093,0.094,0.081,,,,,,
AFB5380,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,3,young,12.8,,0.0196,0.127,0.194,0.135,,,,,,
AET1412,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,2,young,14.0,,0.0459,0.332,0.321,0.316,,,,,,
AES6776,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,1,young,14.0,,0.0435,0.312,0.322,0.316,,,,,,
AFF3173,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,1,old,18.1,,0.0563,0.435,0.433,0.430,,,,,,
AEK5965,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,1,old,6.2,,0.0357,0.359,0.385,0.427,,,,,,
AFN5166,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,3,old,14.5,,0.0494,0.429,0.430,0.441,,,,,,
AAO4783,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,1,old,14.5,,0.0469,0.359,0.386,0.385,,,,,,
AAT2449,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,2,old,14.5,,0.0544,0.408,0.402,0.407,,,,,,
AGF0612,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,1,old,19.0,,0.0706,0.400,0.377,0.384,,,,,,
AGI7878,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,3,old,19.0,,0.0845,0.388,0.402,0.366,,,,,,
AFZ9623,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,young,19.0,,0.0451,0.311,0.296,0.310,,,,,,
AFX2964,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,1,young,19.0,,0.0488,0.306,0.297,0.306,,,,,,
AGA8827,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,3,young,19.0,,0.0358,0.288,0.268,0.296,,,,,,
AEL1013,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,2,old,6.2,,0.0292,0.381,0.367,0.432,,,,,,
AAQ6056,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,3,young,12.5,,0.0262,0.155,0.175,0.168,,,,,,
AIR7899,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,old,10.1,,0.0165,0.196,0.203,0.184,,,,,,
AIG0732,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,3,old,8.5,,0.0217,0.324,0.332,0.327,,,,,,
AHY4510,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,1,old,8.5,,0.0224,0.283,0.295,0.287,,,,,,
AIC8566,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,2,old,8.5,,0.0258,0.281,0.289,0.280,,,,,,
AJD1322,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,3,young,8.5,,0.0190,0.222,0.183,0.210,,,,,,
